target_id,method,oracle_candidate,oracle_group,selected_top1_candidate,selected_top1_group,selected_best_group,oracle_in_topk,topk_groups,unique_topk_groups,tm_like_regret,oracle_tm_like,best_of_5_tm_like
R1116,hybrid,casp15_R1116TS285_5,TS285,casp15_R1116TS177_1,TS177,TS238,False,"TS177,TS163,TS163,TS238,TS163","TS163,TS177,TS238",0.0278241698193949,0.0808181859429064,0.0529940161235115
R1116,low_clash,casp15_R1116TS285_5,TS285,casp15_R1116TS029_1,TS029,TS029,False,"TS029,TS248,TS245,TS245,TS248","TS029,TS245,TS248",0.0420197548690971,0.0808181859429064,0.0387984310738092
R1117,compact,casp15_R1117TS232_1,TS232,casp15_R1117TS235_3,TS235,TS235,False,"TS235,TS238,TS248,TS248,TS235","TS235,TS238,TS248",0.2644298568133479,0.3678080341841362,0.1033781773707882
R1117,contact,casp15_R1117TS232_1,TS232,casp15_R1117TS235_3,TS235,TS238,False,"TS235,TS238,TS248,TS235,TS163","TS163,TS235,TS238,TS248",0.2680282885251692,0.3678080341841362,0.099779745658967
R1117,hybrid,casp15_R1117TS232_1,TS232,casp15_R1117TS235_3,TS235,TS238,False,"TS235,TS238,TS248,TS235,TS163","TS163,TS235,TS238,TS248",0.2680282885251692,0.3678080341841362,0.099779745658967
R1117,low_clash,casp15_R1117TS232_1,TS232,casp15_R1117TS029_1,TS029,TS287,False,"TS029,TS287,TS238,TS239,TS239","TS029,TS238,TS239,TS287",0.0416373203684686,0.3678080341841362,0.3261707138156676
R1126,compact,casp15_R1126TS232_4,TS232,casp15_R1126TS238_3,TS238,TS470,False,"TS238,TS470,TS489,TS444,TS489","TS238,TS444,TS470,TS489",0.3351032397779319,0.3693317530910113,0.0342285133130794
R1126,contact,casp15_R1126TS232_4,TS232,casp15_R1126TS238_3,TS238,TS238,False,"TS238,TS238,TS238,TS489,TS470","TS238,TS470,TS489",0.3226314602338396,0.3693317530910113,0.0467002928571716
R1126,hybrid,casp15_R1126TS232_4,TS232,casp15_R1126TS238_3,TS238,TS470,False,"TS238,TS470,TS489,TS444,TS489","TS238,TS444,TS470,TS489",0.3351032397779319,0.3693317530910113,0.0342285133130794
R1126,low_clash,casp15_R1126TS232_4,TS232,casp15_R1126TS029_1,TS029,TS287,False,"TS029,TS239,TS287,TS287,TS248","TS029,TS239,TS248,TS287",0.1580652603842107,0.3693317530910113,0.2112664927068006
R1128,compact,casp15_R1128TS232_1,TS232,casp15_R1128TS163_1,TS163,TS163,False,"TS163,TS177,TS229,TS029,TS238","TS029,TS163,TS177,TS229,TS238",0.5609693715563866,0.6167446374930202,0.0557752659366336
R1128,contact,casp15_R1128TS232_1,TS232,casp15_R1128TS238_2,TS238,TS163,False,"TS238,TS163,TS177,TS238,TS238","TS163,TS177,TS238",0.5609693715563866,0.6167446374930202,0.0557752659366336
R1128,hybrid,casp15_R1128TS232_1,TS232,casp15_R1128TS163_1,TS163,TS163,False,"TS163,TS238,TS177,TS238,TS238","TS163,TS177,TS238",0.5609693715563866,0.6167446374930202,0.0557752659366336
R1128,low_clash,casp15_R1128TS232_1,TS232,casp15_R1128TS029_1,TS029,TS229,False,"TS029,TS229,TS285,TS248,TS248","TS029,TS229,TS248,TS285",0.5584514507609325,0.6167446374930202,0.0582931867320877
R1136,compact,casp15_R1136TS232_3,TS232,casp15_R1136TS238_3,TS238,TS470,False,"TS238,TS489,TS470,TS238,TS470","TS238,TS470,TS489",0.4315923170343406,0.4589151895094623,0.0273228724751216
R1136,contact,casp15_R1136TS232_3,TS232,casp15_R1136TS238_3,TS238,TS238,False,"TS238,TS238,TS238,TS489,TS470","TS238,TS470,TS489",0.4244650735950296,0.4589151895094623,0.0344501159144327
R1136,hybrid,casp15_R1136TS232_3,TS232,casp15_R1136TS238_3,TS238,TS238,False,"TS238,TS238,TS238,TS489,TS470","TS238,TS470,TS489",0.4244650735950296,0.4589151895094623,0.0344501159144327
R1136,low_clash,casp15_R1136TS232_3,TS232,casp15_R1136TS029_1,TS029,TS245,False,"TS029,TS248,TS239,TS245,TS245","TS029,TS239,TS245,TS248",0.4321328054619393,0.4589151895094623,0.026782384047523
R1138,compact,casp15_R1138TS232_4,TS232,casp15_R1138TS238_4,TS238,TS229,False,"TS238,TS238,TS229,TS229,TS239","TS229,TS238,TS239",0.1623584312330212,0.1999908122841625,0.0376323810511412
R1138,contact,casp15_R1138TS232_4,TS232,casp15_R1138TS238_4,TS238,TS238,False,"TS238,TS238,TS238,TS238,TS229","TS229,TS238",0.1462184297424185,0.1999908122841625,0.0537723825417439
R1138,hybrid,casp15_R1138TS232_4,TS232,casp15_R1138TS238_3,TS238,TS229,False,"TS238,TS229,TS239,TS229,TS470","TS229,TS238,TS239,TS470",0.1623584312330212,0.1999908122841625,0.0376323810511412
R1138,low_clash,casp15_R1138TS232_4,TS232,casp15_R1138TS029_1,TS029,TS239,False,"TS029,TS248,TS248,TS248,TS239","TS029,TS239,TS248",0.1677247428630519,0.1999908122841625,0.0322660694211106
R1149,compact,casp15_R1149TS128_1,TS128,casp15_R1149TS177_1,TS177,TS248,False,"TS177,TS029,TS029,TS392,TS248","TS029,TS177,TS248,TS392",0.1760969070599859,0.2467877619970491,0.0706908549370631
R1149,contact,casp15_R1149TS128_1,TS128,casp15_R1149TS177_1,TS177,TS235,False,"TS177,TS029,TS029,TS235,TS392","TS029,TS177,TS235,TS392",0.2085367183214896,0.2467877619970491,0.0382510436755594
R1149,hybrid,casp15_R1149TS128_1,TS128,casp15_R1149TS177_1,TS177,TS235,False,"TS177,TS029,TS029,TS392,TS235","TS029,TS177,TS235,TS392",0.2085367183214896,0.2467877619970491,0.0382510436755594
R1149,low_clash,casp15_R1149TS128_1,TS128,casp15_R1149TS029_1,TS029,TS239,False,"TS029,TS245,TS239,TS239,TS239","TS029,TS239,TS245",0.1904733081134035,0.2467877619970491,0.0563144538836455
R1156,compact,casp15_R1156TS128_5,TS128,casp15_R1156TS177_1,TS177,TS235,False,"TS177,TS029,TS235,TS235,TS029","TS029,TS177,TS235",0.2233842232485105,0.2638305725614999,0.0404463493129894
R1156,contact,casp15_R1156TS128_5,TS128,casp15_R1156TS177_1,TS177,TS238,False,"TS177,TS238,TS238,TS029,TS029","TS029,TS177,TS238",0.2305056899750326,0.2638305725614999,0.0333248825864672
R1156,hybrid,casp15_R1156TS128_5,TS128,casp15_R1156TS177_1,TS177,TS238,False,"TS177,TS238,TS029,TS029,TS238","TS029,TS177,TS238",0.2305056899750326,0.2638305725614999,0.0333248825864672
R1156,low_clash,casp15_R1156TS128_5,TS128,casp15_R1156TS029_1,TS029,TS239,False,"TS029,TS245,TS238,TS239,TS239","TS029,TS238,TS239,TS245",0.2105291969050404,0.2638305725614999,0.0533013756564594
